Year,C Fips,Count,Population,Ozone,PM2.5,Not Carcinogen,Carcinogen,Radon,Education,Poverty,Unemployed,Median Income,Alcohol,Health Status,Unhealthy Days,Uninsured,HIV,Hep B,Hep C,Cancer Rate,Superfund,Fracking,Medicare Population,Disabled Medicare,Work Disabled,Drug Use,Major Depression
2001,1,6148,1469484,10286388.0,20572776.0,692597.59944,47284.292,0.7983333333333336,34.9,11.5,9.24,126.3,79.2,20.2,6.9,13.711139420367966,18.082,90.545,54.518,0.41837815178661353,3.0,0.0,9.355120572935807,1.4447928660672726,1.7835512329497971,6.489624929567113,5.093692752013633
2001,5,253,35697,606849.0,285576.0,85566.0,61155.0,1.44,16.6,13.1,11.820000000000002,86.7,79.0,21.7,7.4,11.891755609715101,2.795,19.562,111.782,0.7087430316273076,1.0,0.0,18.02112222315601,2.3391321399557388,5.975292041348013,7.50203098299577,6.10695576659103
2001,7,1271,206193,4948632.0,1237158.0,982.0,0.0,0.4863636363636363,21.8,21.4,12.12,70.4,77.3,21.7,7.6,17.991396410159414,9.235,17.012999999999998,141.934,0.6164127783193416,1.0,0.0,15.05240236089489,2.969547947796482,5.863923605554019,7.7388660138802,5.518616053891257
2001,9,258,41304,867384.0,289128.0,0.0,0.0,1.188888888888889,17.1,13.0,12.62,81.4,78.2,26.0,7.3,14.361805152043386,7.241,7.241,190.692,0.6246368390470656,0.0,0.0,17.97162502421073,2.7382335851249273,5.883207437536316,7.815223707147008,6.2947898508619025
2001,11,66,19022,228264.0,95110.0,296623.0,73180.0,0.55,10.6,13.2,18.82,79.3,77.8,29.3,8.2,24.89748712017664,0.0,5.244,20.978,0.34696667017138055,0.0,3.0,12.064977394595731,2.1553990116706974,4.363368730943119,7.596467248449164,5.435811166018294
2001,13,4859,970952,8738568.0,13593328.0,3940444.8,54957.55999999998,0.7583333333333333,35.0,10.2,9.28,128.8,80.3,13.9,6.3,12.264251991859537,11.437,27.924,87.79,0.5004366848206708,2.0,0.0,11.04503621188277,1.537872109022897,2.025640814375994,6.93710914648716,5.367721576349809
2001,15,147,27292,0.0,0.0,0.0,2359.0,0.2875,11.0,23.3,12.12,60.4,77.3,31.7,8.0,17.261468562216034,3.647,18.236,1199.942,0.5386193756412135,0.0,0.0,12.718012604426205,3.770335629488495,5.444818994577165,7.401436318335043,5.664663637696028
2001,17,1012,161101,9988262.0,805505.0,0.0,0.0,1.2676470588235291,26.5,9.1,10.4,117.2,79.8,14.3,6.4,13.359321171190745,8.031,1.853,37.064,0.6281773545788046,0.0,0.0,14.011086212996815,2.245796115480351,2.942874345907226,7.5573708418942145,5.848504975139819
2001,19,3151,813021,109757835.0,47155218.0,272276.48,37542.463999999985,1.2481132075471697,17.5,25.2,14.72,72.3,78.2,19.5,6.6,24.90513775166939,10.184,33.129,161.717,0.38756686481652997,5.0,0.0,9.82828241828932,1.8038894444300946,3.008409376879564,7.371396310796401,5.149559482473393
2001,21,141,26450,105800.0,105800.0,484885.0,81815.0,0.43,10.7,18.5,13.94,67.6,77.3,24.7,7.3,23.72400756143667,7.516,15.031,90.188,0.5330812854442344,0.0,1.0,13.217391304347824,2.325141776937618,4.979206049149338,7.187145557655955,5.179584120982987
